grain,level,horizon_days,quantile,feature,importance
Search,campaign_type,90,0.9,dow_Wednesday,-0.3854
Pmax,campaign_type,30,0.1,spend,1603.7407
Pmax,campaign_type,30,0.1,spend_lag_1,81.2203
Pmax,campaign_type,30,0.1,spend_lag_7,-15.1633
Pmax,campaign_type,30,0.1,spend_lag_14,20.0881
Pmax,campaign_type,30,0.1,spend_rolling_mean_7d,97.3374
Pmax,campaign_type,30,0.1,spend_rolling_mean_14d,-2.5233
Pmax,campaign_type,30,0.1,spend_rolling_mean_30d,-56.6013
Pmax,campaign_type,30,0.1,revenue_rolling_mean_7d,37.3539
Pmax,campaign_type,30,0.1,revenue_rolling_mean_14d,22.2905
Pmax,campaign_type,30,0.1,revenue_rolling_mean_30d,-9.2759
Pmax,campaign_type,30,0.1,spend_share_of_total,-87.5069
Pmax,campaign_type,30,0.1,days_since_start,0.0
Pmax,campaign_type,30,0.1,month_sin,0.0
Pmax,campaign_type,30,0.1,month_cos,0.0
Pmax,campaign_type,30,0.1,dayofmonth_sin,-38.9949
Pmax,campaign_type,30,0.1,dayofmonth_cos,98.087
Pmax,campaign_type,30,0.1,is_weekend,-0.0649
Pmax,campaign_type,30,0.1,target_spend_30d,9606.8752
Pmax,campaign_type,30,0.1,dow_Monday,-3.6602
Pmax,campaign_type,30,0.1,dow_Saturday,0.5598
Pmax,campaign_type,30,0.1,dow_Sunday,0.3335
Pmax,campaign_type,30,0.1,dow_Thursday,-1.4013
Pmax,campaign_type,30,0.1,dow_Tuesday,-1.1808
Pmax,campaign_type,30,0.1,dow_Wednesday,-0.3245
Pmax,campaign_type,30,0.5,spend,399.5781
Pmax,campaign_type,30,0.5,spend_lag_1,12.8876
Pmax,campaign_type,30,0.5,spend_lag_7,-39.2146
Pmax,campaign_type,30,0.5,spend_lag_14,-2.9741
Pmax,campaign_type,30,0.5,spend_rolling_mean_7d,35.0827
Pmax,campaign_type,30,0.5,spend_rolling_mean_14d,14.7646
Pmax,campaign_type,30,0.5,spend_rolling_mean_30d,299.4675
Pmax,campaign_type,30,0.5,revenue_rolling_mean_7d,24.2049
Pmax,campaign_type,30,0.5,revenue_rolling_mean_14d,171.4653
Pmax,campaign_type,30,0.5,revenue_rolling_mean_30d,74.3643
Pmax,campaign_type,30,0.5,spend_share_of_total,308.7335
Pmax,campaign_type,30,0.5,days_since_start,0.0
Pmax,campaign_type,30,0.5,month_sin,0.0
Pmax,campaign_type,30,0.5,month_cos,0.0
Pmax,campaign_type,30,0.5,dayofmonth_sin,-94.632
Pmax,campaign_type,30,0.5,dayofmonth_cos,-19.0944
Pmax,campaign_type,30,0.5,is_weekend,-93.9403
Pmax,campaign_type,30,0.5,target_spend_30d,15202.0414
Pmax,campaign_type,30,0.5,dow_Monday,2.2997
Pmax,campaign_type,30,0.5,dow_Saturday,-0.8128
Pmax,campaign_type,30,0.5,dow_Sunday,-20.7032
Pmax,campaign_type,30,0.5,dow_Thursday,-0.2988
Pmax,campaign_type,30,0.5,dow_Tuesday,-3.3595
Pmax,campaign_type,30,0.5,dow_Wednesday,0.0588
Pmax,campaign_type,30,0.9,spend,338.6794
Pmax,campaign_type,30,0.9,spend_lag_1,5.6571
Pmax,campaign_type,30,0.9,spend_lag_7,-884.627
Pmax,campaign_type,30,0.9,spend_lag_14,-1162.4024
Pmax,campaign_type,30,0.9,spend_rolling_mean_7d,-84.3672
Pmax,campaign_type,30,0.9,spend_rolling_mean_14d,-164.2254
Pmax,campaign_type,30,0.9,spend_rolling_mean_30d,-545.2722
Pmax,campaign_type,30,0.9,revenue_rolling_mean_7d,-157.6046
Pmax,campaign_type,30,0.9,revenue_rolling_mean_14d,-468.6188
Pmax,campaign_type,30,0.9,revenue_rolling_mean_30d,-486.712
Pmax,campaign_type,30,0.9,spend_share_of_total,132.8526
Pmax,campaign_type,30,0.9,days_since_start,0.0
Pmax,campaign_type,30,0.9,month_sin,0.0
Pmax,campaign_type,30,0.9,month_cos,0.0
Pmax,campaign_type,30,0.9,dayofmonth_sin,-26.2872
Pmax,campaign_type,30,0.9,dayofmonth_cos,-34.2216
Pmax,campaign_type,30,0.9,is_weekend,13.3667
Pmax,campaign_type,30,0.9,target_spend_30d,6510.4023
Pmax,campaign_type,30,0.9,dow_Monday,-18.7596
Pmax,campaign_type,30,0.9,dow_Saturday,6.5743
Pmax,campaign_type,30,0.9,dow_Sunday,0.4543
Pmax,campaign_type,30,0.9,dow_Thursday,1.7458
Pmax,campaign_type,30,0.9,dow_Tuesday,0.1292
